index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
207,DSB GFAP 43_40X_CA1,0.0909090909090909,1.0,0.5902777777777778,1.2142857142857142,1,70,10,11,144,0.3383636474609375,1.833057403564453,0.0909090909090909,0.4861111111111111,CA1,43,1995,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
208,DSB GFAP 43_40X_CA3,0.2857142857142857,1.0,0.5299145299145299,1.2653061224489797,2,49,5,7,117,0.2581596374511719,2.3965835571289062,0.2857142857142857,0.4188034188034188,CA3,43,1995,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
209,DSB GFAP 43_40X_CTX1,1.6,2.0,0.6073059360730594,1.220183486238532,4,109,1,5,219,0.4772186279296875,2.330780029296875,0.8,0.4977168949771689,CTX1,43,1995,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
210,DSB GFAP 43_40X_CTX2,0.6,1.5,0.589041095890411,1.2647058823529411,4,102,6,10,219,0.4242897033691406,5.863285064697266,0.4,0.4657534246575342,CTX2,43,1995,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
211,DSB GFAP 43_40X_CTX3,1.2,1.5,0.7615384615384615,1.337837837837838,4,74,1,5,130,0.3557205200195312,2.3842811584472656,0.8,0.5692307692307692,CTX3,43,1995,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
212,DSB GFAP 43_40X_DG,0.3333333333333333,1.0,0.8492822966507177,1.2412587412587412,2,286,4,6,418,1.0764122009277344,2.930927276611328,0.3333333333333333,0.6842105263157895,DG,43,1995,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
213,DSB GFAP 6_40X_CA1,0.4444444444444444,1.2,0.7593582887700535,1.2456140350877194,10,114,17,27,187,0.6907463073730469,11.424636840820312,0.3703703703703703,0.6096256684491979,CA1,6,2042,male,APP/PS1,good,passed,optimal,optimal,False
214,DSB GFAP 6_40X_CA3,0.5454545454545454,1.0,0.819672131147541,1.4492753623188406,6,69,5,11,122,0.4751205444335937,5.228042602539063,0.5454545454545454,0.5655737704918032,CA3,6,2042,male,APP/PS1,good,passed,optimal,optimal,False
215,DSB GFAP 6_40X_CTX1,0.5238095238095238,1.5714285714285714,0.6896551724137931,1.2121212121212122,7,132,14,21,232,0.6030082702636719,7.1132659912109375,0.3333333333333333,0.5689655172413793,CTX1,6,2042,male,APP/PS1,good,passed,optimal,optimal,False
216,DSB GFAP 6_40X_CTX2,0.375,1.5,0.6945812807881774,1.330188679245283,2,106,6,8,203,0.4426956176757812,6.5277099609375,0.25,0.5221674876847291,CTX2,6,2042,male,APP/PS1,good,passed,optimal,optimal,False
217,DSB GFAP 6_40X_CTX3,0.6956521739130435,1.3333333333333333,0.7051792828685259,1.4274193548387095,12,124,11,23,251,0.441741943359375,11.406803131103516,0.5217391304347826,0.4940239043824701,CTX3,6,2042,male,APP/PS1,good,passed,optimal,optimal,False
218,DSB GFAP 6_40X_DG,1.0,1.3333333333333333,1.3165322580645162,1.6004901960784317,15,408,5,20,495,2.957439422607422,6.174468994140625,0.75,0.8242424242424242,DG,6,2042,male,APP/PS1,good,passed,optimal,suboptimal,False
219,DSB GFAP 7_40X_DG,0.0,,0.003125,1.0,0,1,5,5,320,0.0020027160644531,3.0313491821289062,0.0,0.003125,DG,7,147,female,APP/PS1,good,passed,optimal,optimal,True
220,DSB GFAP 8_40X_CA1,0.5333333333333333,1.1428571428571428,0.6573033707865169,1.1142857142857143,7,105,8,15,178,0.5617141723632812,3.7751197814941406,0.4666666666666667,0.5898876404494382,CA1,8,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
221,DSB GFAP 8_40X_CA3,0.0,,0.8157894736842105,1.530864197530864,0,81,8,8,152,0.6836891174316406,3.5164833068847656,0.0,0.5328947368421053,CA3,8,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
222,DSB GFAP 8_40X_CTX1,0.2142857142857142,1.5,0.6160714285714286,1.2432432432432432,2,111,12,14,224,0.4965782165527344,4.283905029296875,0.1428571428571428,0.4955357142857143,CTX1,8,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
223,DSB GFAP 8_40X_CTX2,0.25,1.0,0.6590909090909091,1.2608695652173914,1,115,3,4,220,0.4026412963867187,2.90079116821289,0.25,0.5227272727272727,CTX2,8,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
224,DSB GFAP 8_40X_CTX3,0.4444444444444444,2.0,0.7004830917874396,1.3679245283018868,2,106,7,9,207,0.4750251770019531,4.0431976318359375,0.2222222222222222,0.5120772946859904,CTX3,8,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
225,DSB GFAP 8_40X_DG,0.7058823529411765,1.3333333333333333,1.1457858769931664,1.4925816023738872,9,337,8,17,438,1.6843795776367188,6.287670135498047,0.5294117647058824,0.769406392694064,DG,8,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
226,DSB GFAP 9_40X_CA1,0.15,1.0,0.5638297872340425,1.1521739130434785,3,92,17,20,188,0.4012107849121094,3.920269012451172,0.15,0.4893617021276595,CA1,9,253,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
227,DSB GFAP 9_40X_CA3,0.1,1.0,0.76,1.3902439024390243,2,82,18,20,150,0.4391670227050781,4.345130920410156,0.1,0.5466666666666666,CA3,9,253,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
228,DSB GFAP 9_40X_CTX1,0.6842105263157895,1.625,0.5856573705179283,1.2352941176470589,8,119,11,19,251,0.3623008728027344,10.240554809570312,0.4210526315789473,0.4741035856573705,CTX1,9,253,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
229,DSB GFAP 9_40X_CTX2,0.4375,1.4,0.5352112676056338,1.1875,5,128,11,16,284,0.3438949584960937,8.024024963378906,0.3125,0.4507042253521127,CTX2,9,253,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
230,DSB GFAP 9_40X_CTX3,0.3333333333333333,1.25,0.4904942965779467,1.1727272727272726,4,110,11,15,263,0.3046035766601562,4.800796508789063,0.2666666666666666,0.4182509505703422,CTX3,9,253,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
231,DSB GFAP 9_40X_DG,0.3333333333333333,1.125,0.796137339055794,1.306338028169014,8,284,19,27,463,0.6712913513183594,9.7869873046875,0.2962962962962963,0.6133909287257019,DG,9,253,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
